Законопроекты на 22.05.2022,,,,,,,,,
№,"Номер, наименование",Дата внесения,СПЗИ,Последнее событие,Дата последнего события,Ответственный комитет,Профильный комитет,Комитеты-соисполнители,Отрасль законодательства
535,"61954-8
О внесении изменений в статью 146 Бюджетного кодекса Российской Федерации в связи с принятием Федерального закона ""О дополнительном социальном обеспечении отдельных категорий работников организаций по добыче руды""",27.01.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, В.К.Гартунг, Д.Г.Гусев, М.Г.Делягин, А.В.Терентьев, А.А.Кузнецов, А.В.Чепа, А.С.Аксененко, Я.В.Лантратова, Н.В.Новичков, А.А.Ремезков, Ю.И.Григорьев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.03.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",14.02.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
536,"61952-8
О дополнительном социальном обеспечении отдельных категорий работников организаций по добыче руды",27.01.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, В.К.Гартунг, Д.Г.Гусев, М.Г.Делягин, А.В.Терентьев, А.А.Кузнецов, А.В.Чепа, А.С.Аксененко, Я.В.Лантратова, Н.В.Новичков, А.А.Ремезков, Ю.И.Григорьев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветерановпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.03.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",14.02.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",,
537,"56398-8
О внесении изменений в статьи 14 и 15 Федерального закона
""О ветеранах""
(в части предоставления участникам и инвалидам Великой Отечественной войны компенсации в размере 100%  расходов на оплату жилых помещений, взноса на капитальный ремонт общего имущества в многоквартирном доме)",17.01.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветерановпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 31.03.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству",14.02.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству," 070.000.000 Социальное обеспечение и социальное страхование,  070.090.000 Льготы"
538,"50908-8
О внесении изменений в Федеральный закон ""О противодействии неправомерному  использованию инсайдерской информации и манипулированию рынком и о внесении изменений в отдельные законодательные акты Российской Федерации""
(в части развития института публичного размещения ценных бумаг на российском финансовом рынке)",30.12.2021,"Депутаты ГД А.Г.Аксаков, А.А.Гетта; Сенатор РФ Н.А.Журавлев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 24.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",14.02.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
539,"50212-8
О внесении изменений в некоторые законодательные акты Российской Федерации в части пресечения нарушений законодательства Российской Федерации при  осуществлении торговли в информационно-телекоммуникационной сети ""Интернет""",30.12.2021,Депутат ГД С.Д.Леонов,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по промышленности и торговлепредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 14.03.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",14.02.2022,Комитет Государственной Думы по промышленности и торговле,Комитет Государственной Думы по промышленности и торговле,, 090.000.000 Хозяйственная деятельность
540,"45616-8
О внесении изменений в Федеральный закон ""Об оружии"" и отдельные законодательные акты Российской Федерации
(в части усиления государственного контроля за оборотом оружия)",23.12.2021,"Депутаты ГД А.Е.Хинштейн, В.И.Пискарев, А.Б.Выборный","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",14.02.2022,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по делам национальностей," 160.060.040 Оборот гражданского, служебного и иного оружия"
542,"41739-8 (в архиве) 
О внесении изменений в статью 242 части первой Гражданского кодекса Российской Федерации",17.12.2021,"Депутаты ГД Е.В.Марков, И.К.Сухарев","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",14.02.2022,,Комитет Государственной Думы по государственному строительству и законодательству,,
544,"16493-8 (в архиве) 
О внесении изменений в Федеральный закон ""Об охране озера Байкал""",11.11.2021,"Депутаты ГД Д.Н.Кобылкин, Н.Р.Будуев, Н.С.Валуев, С.Ю.Тен","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
снять законопроект с рассмотрения Государственной Думы в связи с отзывом субъектом права законодательной инициативы",02.02.2022,,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",, 110.000.000 Природные ресурсы и охрана окружающей природной среды
545,"59189-8 (в архиве) 
О внесении изменения в статью 10 Федерального закона ""О внесении изменений в Бюджетный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации и установлении особенностей исполнения бюджетов бюджетной системы Российской Федерации в 2022 году""
(о продлении действия полномочий членов Комиссии Федерального Собрания Российской Федерации по перераспределению бюджетных ассигнований в текущем финансовом году и плановом периоде по рассмотрению вопросов о предоставлении межбюджетных трансфертов бюджетам субъектов Российской Федерации  на 2022 год)",21.01.2022,"Депутаты ГД А.Д.Жуков, А.М.Макаров; Сенатор РФ Н.А.Журавлев","8.2 Опубликование закона (Опубликование закона)
закон опубликован",29.01.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
547,"62578-8
О внесении изменения в статью 6 Федерального закона ""О молодежной политике в Российской Федерации""",28.01.2022,Депутат ГД А.П.Метелев,"1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по молодежной политике",28.01.2022,,Комитет Государственной Думы по молодежной политике,,
554,"42444-8
О внесении изменений в Бюджетный кодекс Российской Федерации в связи с принятием Федерального закона ""О базовом доходе семей, имеющих детей""",20.12.2021,"Депутаты ГД С.М.Миронов, А.М.Бабаков, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, А.А.Кузнецов, Н.П.Бурляев, А.С.Аксененко, И.А.Ананских, Н.В.Новичков, А.А.Вассерман, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, Е.Г.Драпеко, С.В.Кабышев, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.В.Чепа","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 23.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",24.01.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
555,"42420-8
О внесении изменений в Налоговый кодекс Российской Федерации в связи с принятием Федерального закона ""О базовом доходе семей, имеющих детей""
(о налогообложении НДС экспортируемых сырьевых товаров)",20.12.2021,"Депутаты ГД С.М.Миронов, А.М.Бабаков, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, А.А.Кузнецов, Н.П.Бурляев, А.С.Аксененко, И.А.Ананских, Н.В.Новичков, А.А.Вассерман, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, Е.Г.Драпеко, С.В.Кабышев, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.В.Чепа","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 22.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по энергетике",24.01.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по энергетике, 080.100.000 Налоги и сборы
556,"41988-8
О внесении изменения в статью 40 Федерального закона ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации"" в части ограничения, связанного с должностным или служебным положением",18.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, И.А.Ананских, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, А.А.Кузнецов, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.С.Аксененко, А.В.Чепа; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по государственному строительству и законодательствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 24.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",24.01.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.080.000 Референдум. Выборы. Избирательная система,  010.080.020 Выборы. Избирательная система"
557,"41987-8
О внесении изменений в отдельные законодательные акты Российской Федерации в части переноса даты единого дня голосования на второе воскресенье октября",18.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, И.А.Ананских, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, А.А.Кузнецов, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.С.Аксененко, А.В.Чепа; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по государственному строительству и законодательствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 24.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",24.01.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.080.000 Референдум. Выборы. Избирательная система,  010.080.020 Выборы. Избирательная система"
559,"41152-8
О внесении изменений в Федеральный закон ""О Центральном банке Российской Федерации (Банке России)"" и координации его взаимодействия с Правительством Российской Федерации по вопросам обеспечения финансовой стабильности в Российской Федерации
(в части уточнения полномочий Банка России по обеспечению финансовой стабильности в Российской Федерации)",16.12.2021,"Депутаты ГД Г.А.Зюганов, И.И.Мельников, В.И.Кашин, Н.В.Коломейцев, Ю.В.Афонин, Д.Г.Новиков, К.К.Тайсаев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 24.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",24.01.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
562,"41977-8 (в архиве) 
О внесении изменений в Федеральный закон ""О выборах депутатов Государственной Думы Федерального Собрания Российской Федерации""
(в части повторного голосования на выборах депутатов Государственной Думы по одномандатным избирательным округам)",18.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, В.К.Гартунг, И.А.Ананских, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, А.А.Кузнецов, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.С.Аксененко, А.В.Чепа; Сенатор РФ О.Н.Епифанова","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",24.01.2022,,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.080.000 Референдум. Выборы. Избирательная система,  010.080.020 Выборы. Избирательная система"
563,"41985-8 (в архиве) 
О внесении изменения в статью 68 Федерального закона ""Об основных гарантиях избирательных прав и права на участие в референдуме граждан Российской Федерации""
(в части использования технических средств подсчета голосов)",18.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, И.А.Ананских, А.Н.Грешневиков, Ю.И.Григорьев, М.Г.Делягин, А.А.Кузнецов, Д.В.Кузнецов, Я.В.Лантратова, А.И.Лисицын, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Ф.С.Тумусов, А.С.Аксененко, А.В.Чепа; Сенатор РФ О.Н.Епифанова","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",24.01.2022,,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.080.000 Референдум. Выборы. Избирательная система,  010.080.020 Выборы. Избирательная система"
566,"47090-8 (в архиве) 
О внесении изменений в статью 1.1 Федерального закона ""О днях воинской славы и памятных датах России"" (об установлении даты памяти о прекращении существования Союза Советских Социалистических Республик)",25.12.2021,Депутат ГД Б.А.Чернышов,"2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",19.01.2022,,Комитет Государственной Думы по обороне,,
570,"36445-8
О внесении изменений в Федеральный закон ""О физической культуре и спорте в Российской Федерации"" в целях установления запрета на строительство иных объектов недвижимого имущества на месте размещения объектов  спорта",10.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, Д.Г.Гусев, В.К.Гартунг, А.А.Кузнецов, И.А.Ананских, А.С.Аксененко, Ю.И.Григорьев, М.Г.Делягин, Я.В.Лантратова, Н.В.Новичков, Ф.С.Тумусов, А.А.Вассерман","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по физической культуре и спортупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",17.01.2022,Комитет Государственной Думы по физической культуре и спорту,Комитет Государственной Думы по физической культуре и спорту,,
571,"35238-8
О внесении изменений в отдельные законодательные акты Российской Федерации о выборах (в части исключения осуществления дистанционного электронного голосования)",09.12.2021,"Депутаты ГД Г.А.Зюганов, И.И.Мельников, Ю.В.Афонин, Н.В.Коломейцев, В.Ф.Рашкин, Ю.П.Синельщиков","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по государственному строительству и законодательствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",17.01.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.080.000 Референдум. Выборы. Избирательная система,  010.080.020 Выборы. Избирательная система"
573,"25200-8
О внесении изменений в Арбитражный процессуальный кодекс Российской Федерации
(об исключительной компетенции арбитражных судов в РФ по спорам с участием лиц, в отношении которых введены меры ограничительного характера)",25.11.2021,"Депутаты ГД Б.А.Чернышов, В.М.Власов, А.К.Луговой","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по государственному строительству и законодательствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",17.01.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,,
577,"35591-8
О внесении изменений в отдельные законодательные акты Российской Федерации в части уточнения процедуры признания физических и юридических лиц иностранными агентами и порядка предоставления отчетности",09.12.2021,"Депутаты ГД А.Г.Нечаев, В.А.Даванков, С.В.Авксентьева, К.А.Горячева, А.О.Ткачев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединенийпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.02.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по информационной политике, информационным технологиям и связи",17.01.2022,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений","Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений","Комитет Государственной Думы по информационной политике, информационным технологиям и связи", 020.000.000 Основы государственного управления
579,"41607-8 (в архиве) 
О внесении изменений в Уголовный кодекс Российской Федерации и статьи 31 и 150 Уголовно-процессуального кодекса Российской Федерации
(в части установления ответственности за нарушение правил дорожного движения лицом, подвергнутым наказанию и лишенным права управления транспортным средством)",17.12.2021,"Депутаты ГД В.А.Васильев, Д.Ф.Вяткин, И.А.Панькина, Я.Е.Нилов, В.М.Власов, О.А.Нилов, В.А.Даванков, А.О.Ткачев","8.2 Опубликование закона (Опубликование закона)
закон опубликован",31.12.2021,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,," 170.000.000 Уголовное право. Исполнение наказаний,  170.020.000 Особенная часть,  170.020.030 Преступления против общественной безопасности и общественного порядка"
580,"29915-8 (в архиве) 
О внесении изменения в статью 8 Федерального закона  ""О внесении изменений в Федеральный закон ""Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации"" и отдельные законодательные акты Российской Федерации""",02.12.2021,"Депутаты ГД С.А.Пахомов, Р.М.Лябихов, В.А.Кошелев, А.С.Аксененко","8.2 Опубликование закона (Опубликование закона)
закон опубликован",31.12.2021,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,, 090.040.010 Общие положения
581,"29293-8 (в архиве) 
О внесении изменений в Федеральный закон ""О внесении изменений в отдельные законодательные акты Российской Федерации по вопросам предупреждения и ликвидации чрезвычайных ситуаций""
(в части продления моратория на указание идентификаторов должника)",01.12.2021,"Депутаты ГД П.Р.Качкаев, С.А.Пахомов","8.2 Опубликование закона (Опубликование закона)
закон опубликован",31.12.2021,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,, 030.010.000 Общие положения
592,"50206-8
О ежегодной предновогодней пенсионной выплате",30.12.2021,"Депутаты ГД В.В.Жириновский, Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов, Б.Р.Пайкин, К.М.Панеш, С.А.Наумов, В.А.Кошелев, Б.А.Чернышов, В.В.Сипягин, И.К.Сухарев, И.М.Мусатов, А.Н.Свистунов, В.С.Селезнев, Е.В.Марков; Сенаторы РФ Е.В.Афанасьева, И.А.Кожанова","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветеранов",30.12.2021,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",,
